#Term	pleasantness	attention	sensitivity	aptitude	polarity
a little	0.039	0	0.028	0.086	0.032
a lot	0.277	0.161	0	0.337	0.258
a lot of fat	0.038	0	0.05	0.092	0.027
a lot of flowers	-0.057	0.097	-0.21	-0.034	-0.068
a lot of food	0.043	-0.055	0	0	0.033
a lot of fun	0.814	0	0	0.856	0.557
a lot of information	0	0.219	-0.05	0.144	0.104
a lot of money	0	0.131	0	0	0.044
a lot of noise	0	0	0.896	-0.962	-0.619
a lot of people	0.08	-0.028	0	0	0.036
a lot of practice	-0.06	0	0.054	0	-0.038
a lot of sex	0.791	0.934	0	0.85	0.858
a lot of stress	-0.184	-0.016	-0.104	-0.163	-0.145
a lot of study	-0.074	-0.005	0.013	-0.111	-0.064
a lot of work	-0.053	0.141	0.031	0.079	0.045
abandon	-0.99	0	0	-0.709	-0.566
abandonment	0	-0.052	0.027	0.05	0.025
abase	-0.486	0.402	-0.214	-0.161	-0.153
abash	-0.521	0.391	-0.243	-0.149	-0.174
abashed	-0.52	0.392	-0.24	-0.153	-0.174
abashment	-0.542	0.383	-0.26	-0.14	-0.186
abduction	-0.127	0.16	-0.24	-0.056	-0.088
abhor	-0.063	0.183	0.651	-0.642	-0.391
abhorrence	-0.063	0.183	0.651	-0.642	-0.391
abhorrent	-0.062	0.123	0.712	-0.678	-0.443
ability	0	0.273	-0.162	0.277	0.129
abject	-0.465	0.398	-0.173	-0.192	-0.144
abjectly	-0.465	0.398	-0.173	-0.192	-0.144
able read	0.972	0.895	0	0.727	0.865
able run	0.731	0.729	0	0.866	0.775
able see	0.071	0.111	0	0.078	0.087
able use	0.84	0.813	0	0.915	0.856
abominably	-0.062	0.123	0.712	-0.678	-0.443
abominate	-0.063	0.183	0.651	-0.642	-0.391
abomination	-0.063	0.183	0.651	-0.642	-0.391
aboriginal	0.066	0.12	-0.104	0.121	0.068
abortion	-0.847	-0.769	0.732	0	-0.27
abrasion	-0.101	0	-0.056	-0.099	-0.085
abroad	0	0.766	0	0	0.255
abrupt	0.025	-0.53	-0.201	0.284	0.213
absence	-0.038	0.154	0.016	0.178	0.093
absence light	-0.707	-0.373	0.185	-0.31	-0.276
absent	0	0.163	-0.052	0.194	0.102
absolute	0.295	0.239	0.049	0.346	0.277
absolutely	0.77	0	0	0.996	0.589
absolution	0.901	0	0	0.916	0.606
absorb information	0.757	0.896	0	0.538	0.73
abstract	0	0.309	-0.105	0.266	0.157
abstract concept	0	0	0	0.745	0.248
abstract think	-0.022	0.182	0.043	0	0.039
abstraction	0.144	0.291	-0.075	0.296	0.219
abundance	0	0.184	-0.051	0.179	0.104
abuse	-0.285	-0.007	-0.143	0	-0.14
academy	0	0	-0.046	-0.058	-0.035
accept	0.972	0	0	0.894	0.622
acceptance	0	0	0	0.3	0.1
access internet	0.827	0.732	0	0.769	0.776
accessorize outfit	0.152	0.114	-0.103	0.21	0.124
accessory	0	0.075	0.028	0.173	0.073
